INFO:root:FileData(name='All Users', extension='', is_directory=True, parent_directory='C:/Users/')
INFO:root:FileData(name='Chose_Not_To_Connect', extension='.htm', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch\\RU\\StaticPages')
INFO:root:FileData(name='ContactInfo', extension='.chm', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch\\RU\\StaticPages')
INFO:root:FileData(name='Images', extension='', is_directory=True, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch\\RU\\StaticPages')
INFO:root:FileData(name='acd-logo-print', extension='.gif', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch\\RU\\StaticPages\\Images')
INFO:root:FileData(name='button-tictac-next', extension='.gif', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch\\RU\\StaticPages\\Images')
INFO:root:FileData(name='button-tictac-prev', extension='.gif', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch\\RU\\StaticPages\\Images')
INFO:root:FileData(name='error-arrow', extension='.gif', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch\\RU\\StaticPages\\Images')
INFO:root:FileData(name='spacer', extension='.gif', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch\\RU\\StaticPages\\Images')
INFO:root:FileData(name='privacy-popup', extension='.htm', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch\\RU\\StaticPages')
INFO:root:FileData(name='registration-cancel', extension='.htm', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch\\RU\\StaticPages')
INFO:root:FileData(name='Registration', extension='.htm', is_directory=False, parent_directory='C:/Users/All Users\\ACD Systems\\ACDSee Pro\\5.0\\ACDInTouch\\RU\\StaticPages')
